onset	duration	Experiment - R1AVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
188,023	2	24AD_lo34194	43	Mag er das immernoch gerne?	88	188023	Nein	1852	904	27	5	9	9	9	9	9	9	9	9	correct
194,063	2	24AD_lo34194	44	## ##### ### ### ###### ### ######	77	194063	keine	0	225	34	7	9	9	9	9	9	9	9	9	miss
200,092	2	24AD_lo34194	45	Er merkt wie sich die Sachen entwickeln	55	200092	keine	0	147	39	7	0,583333333	0,583333333	3,7	4,636363636	2,5	999	999	999	miss
203,126	2	24AD_lo34194	46	Ist ihm die Entwicklung aufgefallen?	88	203126	Ja	2091	905	36	5	9	9	9	9	9	9	9	9	correct
209,166	2	24AD_lo34194	47	#### ###### ###### #######	77	209166	keine	0	256	26	4	9	9	9	9	9	9	9	9	miss
213,194	2	24AD_lo34194	48	Sie redet nicht um den heißen Brei	22	213194	keine	0	33	34	7	-0,222222222	0,222222222	3,285714286	5,272727273	3,777777778	3,812515985	2,875	6,5	miss
216,223	2	24AD_lo34194	49	Sie holt sich den Tod	11	216223	keine	0	11	21	5	-2,111111111	2,111111111	4	5,545454546	2,545454546	3,908683056	5,142857143	7	miss
224,257	2	24AD_lo34194	50	Es ist Jacke wie Hose	22	224257	keine	0	46	21	5	0,111111111	0,111111111	5,125	5,4	1,818181818	3,840995304	2,375	6,4	miss
228,297	2	24AD_lo34194	51	Er hegt einen Traum	33	228297	keine	0	77	19	4	1,888888889	1,888888889	3,75	4,090909091	2,545454546	3,856068786	4,625	7	miss
232,326	2	24AD_lo34194	52	Sie denkt über die Vor- und Nachteile nach	55	232326	keine	0	134	42	8	0,166666667	0,166666667	3,4	4,818181818	2,416666667	999	999	999	miss
240,355	2	24AD_lo34194	53	Er benimmt sich wie ein Elefant im Porzellanladen	11	240355	keine	0	28	49	8	-1,666666667	1,666666667	4,125	5,4	3,363636364	4,014075192	5,714285714	7	miss
243,394	2	24AD_lo34194	54	## ##### ### ### #####	77	243394	keine	0	222	22	5	9	9	9	9	9	9	9	9	miss
250,428	2	24AD_lo34194	55	## ##### ##### ##### ######	77	250428	keine	0	188	27	5	9	9	9	9	9	9	9	9	miss
253,457	2	24AD_lo34194	56	Sie bricht ihm das Herz	11	253457	keine	0	7	23	5	-2,222222222	2,222222222	5,5	6,3	2,909090909	4,041178878	5	7	miss
257,491	2	24AD_lo34194	57	Sie hat die Weisheit mit Löffeln gefressen	22	257491	keine	0	36	42	7	-0,222222222	0,222222222	3,5	5,2	3,090909091	3,947541587	4,625	7	miss
261,52	2	24AD_lo34194	58	### ##### ##### ##### ##### #### ### ##### ######	77	261520	keine	0	207	49	9	9	9	9	9	9	9	9	9	miss
264,548	2	24AD_lo34194	59	Er schwimmt im Geld	33	264548	keine	0	62	19	4	1,222222222	1,222222222	3	5,1	3,25	3,557714631	5,888888889	7	miss
267,582	2	24AD_lo34194	60	Sie freut sich auf den Urlaub	66	267582	keine	0	173	29	6	1,916666667	1,916666667	5	5,636363636	2,916666667	999	999	999	miss
272,616	2	24AD_lo34194	61	##### ##### ##### ##### #### ####	77	272616	keine	0	189	33	6	9	9	9	9	9	9	9	9	miss
275,655	2	24AD_lo34194	62	### ### ########## ##########	77	275655	keine	0	257	29	4	9	9	9	9	9	9	9	9	miss
278,688	2	24AD_lo34194	63	Er fühlt sich entspannt und locker	66	278688	keine	0	162	34	6	1,583333333	1,583333333	4,090909091	4,818181818	3,416666667	999	999	999	miss
282,723	2	24AD_lo34194	64	Sie fühlt sich sorglos	66	282723	keine	0	158	22	4	1,416666667	1,416666667	4,454545455	4,636363636	2,083333333	999	999	999	miss
287,751	2	24AD_lo34194	65	Ist sie unbeschwert?	88	287751	Ja	1519	906	20	3	9	9	9	9	9	9	9	9	correct
293,797	2	24AD_lo34194	66	Es wurde heute aufgeräumt	55	293797	keine	0	143	25	4	0,333333333	0,333333333	2,909090909	3,818181818	4,833333333	999	999	999	miss
300,825	2	24AD_lo34194	67	### ##### #### ##### ##### ## #####	77	300825	keine	0	210	35	7	9	9	9	9	9	9	9	9	miss
304,855	2	24AD_lo34194	68	#### ### ########## #########	77	304855	keine	0	252	29	4	9	9	9	9	9	9	9	9	miss
307,883	2	24AD_lo34194	69	## ### ##### ######	77	307883	keine	0	261	19	4	9	9	9	9	9	9	9	9	miss
312,917	2	24AD_lo34194	70	Es macht keinen Unterschied für ihn	55	312917	keine	0	124	35	6	-0,090909091	0,090909091	3	5,181818182	2	999	999	999	miss
316,957	2	24AD_lo34194	71	Sie eroberte sein Herz	33	316957	keine	0	80	22	4	2	2	5,125	5,545454546	2,4	3,894545162	5,777777778	6,4	miss
320,985	2	24AD_lo34194	72	Er wird freundlich aufgenommen	66	320985	keine	0	167	30	4	1,833333333	1,833333333	4,545454546	4,636363636	3,333333333	999	999	999	miss
324,014	2	24AD_lo34194	73	Sie lacht über den Scherz	66	324014	keine	0	161	25	5	1,583333333	1,583333333	4,454545455	4,454545455	5	999	999	999	miss
328,048	2	24AD_lo34194	74	Das ist eine traurige Geschichte	44	328048	keine	0	108	32	5	-1,833333333	1,833333333	5,181818182	4,727272727	2,5	999	999	999	miss
332,076	2	24AD_lo34194	75	#### #### ### ##### ### #####	77	332076	keine	0	229	29	6	9	9	9	9	9	9	9	9	miss
337,105	2	24AD_lo34194	76	Er fällt durch die Abschlussprüfung	44	337105	keine	0	95	35	5	-2,5	2,5	5,454545455	3,454545455	3,833333333	999	999	999	miss
344,143	2	24AD_lo34194	77	Es ist in aller Munde	22	344143	keine	0	55	21	5	0,333333333	0,333333333	3,25	5,4	2,888888889	3,696579703	4,75	7	miss
349,174	2	24AD_lo34194	78	## ### ##### ############	77	349174	keine	0	194	25	4	9	9	9	9	9	9	9	9	miss
352,213	2	24AD_lo34194	79	Er hat bei ihm verspielt	11	352213	keine	0	25	24	5	-1,777777778	1,777777778	4,375	4,818181818	2,363636364	3,915117004	4	7	miss
355,247	2	24AD_lo34194	80	#### ## ### ##### #####	77	355247	keine	0	197	23	5	9	9	9	9	9	9	9	9	miss
358,281	2	24AD_lo34194	81	Hast du soeben viele Dreiecke gesehen?	88	358281	Nein	2159	907	38	6	9	9	9	9	9	9	9	9	correct
364,32	2	24AD_lo34194	82	Er leidet unter der Trennung seiner Eltern	44	364320	keine	0	99	42	7	-2,166666667	2,166666667	5,636363636	4,727272727	3,083333333	999	999	999	miss
370,349	2	24AD_lo34194	83	Ihr läuft die Galle über	11	370349	keine	0	13	24	5	-2	2	4,285714286	3,333333333	3,454545455	3,691197691	3,125	3,625	miss
374,384	2	24AD_lo34194	84	Es ist nicht so schwierig	55	374384	keine	0	145	25	5	0,5	0,5	3,727272727	4,727272727	2,083333333	999	999	999	miss
381,411	2	24AD_lo34194	85	Er spitzte die Ohren	22	381411	keine	0	59	20	4	0,444444444	0,444444444	3,625	5,5	5,181818182	4,096573349	4	7	miss
389,441	2	24AD_lo34194	86	## ##### ###### ##### #####	77	389441	keine	0	270	28	5	9	9	9	9	9	9	9	9	miss
392,481	2	24AD_lo34194	87	## ## ##########	77	392481	keine	0	239	16	3	9	9	9	9	9	9	9	9	miss
395,515	2	24AD_lo34194	88	Er plaudert aus dem Nähkästchen	22	395515	keine	0	35	31	5	-0,222222222	0,222222222	2,875	4,818181818	3,909090909	4,004474986	2,5	7	miss
399,549	2	24AD_lo34194	89	Sie beschäftigt sich mit dem Thema	55	399549	keine	0	142	34	6	0,333333333	0,333333333	3,1	5,727272727	2,666666667	999	999	999	miss
404,577	2	24AD_lo34194	90	### #### ####### ##	77	404577	keine	0	241	19	4	9	9	9	9	9	9	9	9	miss
410,616	2	24AD_lo34194	91	Er denkt jetzt daran	55	410616	keine	0	127	20	4	0	0	2,9	5,3	2,333333333	999	999	999	miss
414,651	2	24AD_lo34194	92	Er ist über alle Berge	22	414651	keine	0	32	22	5	-0,222222222	0,222222222	3,25	5,636363636	2,272727273	3,915657047	3,875	7	miss
422,681	2	24AD_lo34194	93	Die Beschreibung des Projektes ist jetzt verfügbar	55	422681	keine	0	136	50	7	0,166666667	0,166666667	2,4	3,909090909	4,166666667	999	999	999	miss
425,72	2	24AD_lo34194	94	Sie schläft gut	66	425720	keine	0	168	15	3	1,833333333	1,833333333	4,454545455	5,272727273	4,916666667	999	999	999	miss
430,754	2	24AD_lo34194	95	Hat sie einen gesunden Schlaf?	88	430754	Ja	2329	908	30	5	9	9	9	9	9	9	9	9	correct
436,8	2	24AD_lo34194	96	Sie ist fit wie ein Turnschuh	33	436800	keine	0	86	29	6	2,333333333	2,333333333	3,375	6,090909091	3,272727273	3,936479301	5,25	6,5	miss
440,829	2	24AD_lo34194	97	Er gewinnt neues Selbstvertrauen	66	440829	keine	0	169	32	4	1,833333333	1,833333333	5,272727273	4,363636364	2,583333333	999	999	999	miss
443,857	2	24AD_lo34194	98	### ##### ### ####### ####	77	443857	keine	0	226	26	5	9	9	9	9	9	9	9	9	miss
449,891	2	24AD_lo34194	99	Sie schwitzte Blut und Wasser	11	449891	keine	0	30	29	5	-1,111111111	1,111111111	4,142857143	4,8	4	4,314285714	4	5	miss
453,925	2	24AD_lo34194	100	#### ###### ####### #########	77	453925	keine	0	251	29	4	9	9	9	9	9	9	9	9	miss
